created_at,text,likes,reshares,sentiment
2017-11-03T18:16:10Z,"$MELI $AAPL $AMZN $SQ $TSLA $HD $NVDA 
Got the rally going on!
Woo woo ðŸ¤‘ðŸ¤‘",0,0,Bullish
2017-11-03T18:16:01Z,$AMZN $TSLA I swear itâ€™s like they watch &amp; wait until I sell my options before they really let these things run.  WTF? ðŸ¤”,0,0,Neutral
2017-11-03T18:12:47Z,$AMZN at least 1115 today,1,0,Bullish
2017-11-03T18:11:01Z,$DCIX hold on to $DCIX and $Top $TOPS look at it $TSLA $FB $AMZN $GOOGL,0,0,Bullish
2017-11-03T18:10:33Z,$AMZN let&#39;s see the 1120 today ... let&#39;s go,1,0,Neutral
2017-11-03T18:10:17Z,$AMZN at this pace close $1130,1,0,Neutral
2017-11-03T18:09:22Z,$AMZN fly like last week lol,1,0,Bullish
2017-11-03T18:06:52Z,$AMZN What a  Expected Monster Move Calls to 5 bucks from 20 cents,2,0,Neutral
2017-11-03T18:03:25Z,Thye are buying $INTC $NVDA $TXN...........$MU $SPY $QQQ $DIA $AAPL $AMZN,2,0,Neutral
2017-11-03T18:00:00Z,$AMZN woohoo next week will be 1120 or 1125 Thanksgiving coming near..,0,0,Bullish
2017-11-03T17:59:20Z,$ 5 million &amp; counting negative short driven outflows on likely max 2 million shares traded! $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN,1,0,Neutral
2017-11-03T17:59:17Z,$TEAM $FB $AAPL $AMZN GTFO IN HERE it&#39;s running UP LIKE CRAZY,1,0,Bullish
2017-11-03T17:57:38Z,$AMZN go past 1110 today... fingers crossed,1,0,Neutral
2017-11-03T17:57:15Z,$AMZN thats it? Lol weak  watch nxt week,0,0,Bearish
2017-11-03T17:52:48Z,"negative $4.5 million short driven $CY outflows, WTF!$CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN",0,0,Neutral
2017-11-03T17:50:55Z,Chanos defeat on $BABA is going to pale in comparison to shorts on Cypress! $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN,0,0,Neutral
2017-11-03T17:49:15Z,"$AMZN &amp; Fb &amp; Aph.ca 

The three horsemen!",0,0,Bullish
2017-11-03T17:49:05Z,"$AMZN unreal everything is up all day every day , itâ€™s almost stupid to trade, my 5 year old is making money",1,0,Bullish
2017-11-03T17:48:31Z,"Apologies... not laughing, just amazed. Go Cypress $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN",1,0,Neutral
2017-11-03T17:48:30Z,Is Amazon Fresh Stopping Service to Your Zip Code? $AMZN http://bit.ly/2zdhzUG http://bit.ly/2APRSCC,0,0,Neutral
2017-11-03T17:46:40Z,"sorry folks, never saw a train wreck from start to finish like this, can&#39;t help myself. $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN",0,0,Bullish
2017-11-03T17:44:00Z,$AMZN Giving a good tip here: The $1150 Nov 10 Call has a phenomenal ask price right now...should be price at $3...great IV score.,0,0,Bullish
2017-11-03T17:42:23Z,Cypress shorts right now! $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN,3,0,Neutral
2017-11-03T17:42:03Z,$AMZN - $1110 Coming. Follow me for next week NVDA play if you watched my $AMZN from lows today.,0,0,Bullish
2017-11-03T17:39:12Z,Get a Comparison of the Discounted Sporting Goods Companies Here! https://seekingalpha.com/article/4100585-comparing-discounted-sporting-goods-retailers-contrarian-value-opportunities $HIBB $FL $DKS $BGFV $CAB $AMZN,0,0,Neutral
2017-11-03T17:39:05Z,Negative $5 million outflows on CY sales! This is the craziest action I have seen in awhile!  $CY $MU $NVDA $INTC $SPY $QQQ $DIA $AAPL $AMZN,1,0,Neutral
2017-11-03T17:36:30Z,$AMZN Selling my 977.5 call for 145 limit. Currently at 131.5 ask.,0,0,Neutral
2017-11-03T17:33:57Z,$AMZN Goodluck. Hope you reduce your losses. DONT SHORT $AMZN till next earnings. HOLIDAY SEASON QUARTER. GOING TO BE HHHUUUUGGGEEEE LONG,0,0,Neutral
2017-11-03T17:32:12Z,$AMZN try next week&#39;s $1150 calls bid/ask should be higher. IV is great score right now!,2,0,Bullish
2017-11-03T17:32:10Z,$AMZN squeeze,0,0,Bullish
